2023-05-23T20:34:06.288720100,addCustomer,INSERT,Customer added successfully with customerID b: 0
2023-05-23T21:10:48.488147200,connect,getConnection,A connection to the MySQL database established successfully!
2023-05-23T21:10:48.636749200,initTables,CREATE,Tables created successfully!
2023-05-23T21:10:48.637746500,initTables,UPDATE,Default values inserted successfully!
2023-05-23T21:10:48.673650800,addPizza,INSERT,Added pizza with ID: 1
2023-05-23T21:10:48.675647800,addPizza,INSERT,Added pizza with ID: 2
2023-05-23T21:10:48.678637600,addPizza,INSERT,Added pizza with ID: 3
2023-05-23T21:10:48.681629900,addPizza,INSERT,Added pizza with ID: 4
2023-05-23T21:10:48.683624800,addPizza,INSERT,Added pizza with ID: 5
2023-05-23T21:10:48.691604100,addDrink,INSERT,Drink inserted successfully: 1
2023-05-23T21:10:48.694595400,addDrink,INSERT,Drink inserted successfully: 2
2023-05-23T21:10:48.696589500,addDrink,INSERT,Drink inserted successfully: 3
2023-05-23T21:10:48.699582700,addDrink,INSERT,Drink inserted successfully: 4
2023-05-23T21:10:48.704568200,addTopping,INSERT,Topping inserted successfully: P1
2023-05-23T21:10:48.707560300,addTopping,INSERT,Topping inserted successfully: P2
2023-05-23T21:10:48.710552300,addTopping,INSERT,Topping inserted successfully: P3
2023-05-23T21:10:48.712547200,addTopping,INSERT,Topping inserted successfully: P4
2023-05-23T21:10:48.715539700,addTopping,INSERT,Topping inserted successfully: P5
2023-05-23T21:10:48.718530500,addTopping,INSERT,Topping inserted successfully: P6
2023-05-23T21:10:48.720525600,addTopping,INSERT,Topping inserted successfully: P7
2023-05-23T21:10:48.722520100,addTopping,INSERT,Topping inserted successfully: P8
2023-05-23T21:10:48.724514700,addTopping,INSERT,Topping inserted successfully: P9
2023-05-23T21:10:48.727506900,addTopping,INSERT,Topping inserted successfully: P10
2023-05-23T21:10:48.729501500,addTopping,INSERT,Topping inserted successfully: D1
2023-05-23T21:10:48.732495100,addTopping,INSERT,Topping inserted successfully: D2
2023-05-23T21:10:48.734489100,addTopping,INSERT,Topping inserted successfully: D3
2023-05-23T21:10:48.737480100,addTopping,INSERT,Topping inserted successfully: D4
